DateTime,DIT,DMDP Magomeni,Makuburi,Mlimani City,Buza,Vingunguti PR,Sinza Hospital,Temeke DMDP,Kigamboni Munc,Madale,Ubungo Mun,Vijibweni Hosp,,,DateTime,DIT,DMDP Magomeni,Makuburi,Mlimani City,Buza,Vingunguti PR,Sinza Hospital,Temeke DMDP,Kigamboni Munc,Madale,Ubungo Mun,Vijibweni Hosp
2021-11-04 0:00,4.66,14.57,17.06,6.99,20.18,39.01,16.12,9.33,4.85,8.53,6.99,7.17,,,2021-11-04 0:00,5.91,17.79,21.39,7.39,24.44,55.97,17.51,13.69,5.79,9.72,7.39,8.74
2021-11-04 1:00,5.1,11.73,9.46,7.57,15.94,33.47,9.87,9.09,4.08,8.33,7.57,9,,,2021-11-04 1:00,6.77,14.09,11.77,7.91,20.12,53.44,10.85,12.95,5.25,9.34,7.91,10.31
2021-11-04 2:00,4.69,25.89,9.5,8.49,15.64,18,15.1,8.53,3.86,8.61,8.49,7.65,,,2021-11-04 2:00,6.05,31.41,11.49,8.77,19.13,30.04,15.97,12.77,4.66,9.53,8.77,8.51
2021-11-04 3:00,4.17,16.26,8.44,9.82,15.59,16.89,12.85,8.77,3.58,7.21,9.82,8.01,,,2021-11-04 3:00,5.24,20.12,10.16,10.29,19.52,22.73,14.11,14,4.75,8.16,10.29,8.87
2021-11-04 4:00,4.01,11.54,7.58,8.62,11.99,16.97,12.09,9.53,3.57,6.78,8.62,7.06,,,2021-11-04 4:00,5.21,13.9,9.47,8.99,16.31,28.87,13.04,14.83,4.63,7.63,8.99,8.05
2021-11-04 5:00,4.74,7.75,6.65,7.43,12.59,14.57,10.51,8.67,3.99,8.7,7.43,6.85,,,2021-11-04 5:00,5.83,9.45,8.9,7.88,15.6,25.14,11.35,13.68,5.44,10.18,7.88,7.93
2021-11-04 6:00,6.4,11.94,9.1,7.2,12.26,12.14,19.78,8.88,5.01,8.73,7.2,8.06,,,2021-11-04 6:00,7.67,14.82,11.97,7.58,15.93,17.83,21.23,12.92,6.31,10.36,7.58,9.19
2021-11-04 7:00,7.35,6.66,18.07,9.75,21.65,13.53,30.68,10.86,7.43,7.29,9.75,10.47,,,2021-11-04 7:00,8.98,8.07,23.09,10.18,26.87,20.43,33.03,16.44,8.95,8.3,10.18,11.74
2021-11-04 8:00,8.29,8.72,25.3,16.3,39.78,15,25.56,14.29,14.94,9.26,16.3,16.59,,,2021-11-04 8:00,9.6,11.14,32.64,16.94,49.01,21.37,27.69,20.57,17.47,10.74,16.94,18.08
2021-11-04 9:00,10.23,16.85,20.02,19.13,28.88,14.77,24.52,18.52,6.72,9.32,19.13,16.73,,,2021-11-04 9:00,11.54,19.9,25.85,19.73,35.86,19.33,26.26,25.17,8.02,10.54,19.73,18.12
2021-11-04 10:00,9.29,26.61,14.53,10.07,22.3,14.05,24.52,16.97,6.86,8.55,10.07,15.09,,,2021-11-04 10:00,10.68,31.81,18.52,10.45,27.67,18.66,26.44,23.25,8.1,9.69,10.45,16.65
2021-11-04 11:00,8.37,9.86,16.79,8.78,19.14,15.81,18.81,,6.55,8.19,8.78,19.98,,,2021-11-04 11:00,11.59,11.22,20.94,9.08,23.14,20.82,20.1,,8.09,9.45,9.08,21.62
2021-11-04 12:00,9.83,7.73,20.07,7.95,23.61,16.63,14.05,,8.13,6.91,7.95,9.86,,,2021-11-04 12:00,13.83,9.4,24.13,8.32,29.94,23.73,15.16,,9.72,7.98,8.32,11.16
2021-11-04 13:00,7.5,9.28,9.02,8.86,18.42,10.38,10.8,,7.61,6.97,8.86,9.24,,,2021-11-04 13:00,8.53,11.09,10.86,9.29,22.51,13.51,11.78,,9.1,8.1,9.29,10.44
2021-11-04 14:00,5.88,6.78,9.11,8.03,27.45,8.76,11.11,,10.2,7.48,8.03,8.92,,,2021-11-04 14:00,6.82,8.26,10.87,8.42,34.81,11.18,12.17,,12.08,8.72,8.42,10.09
2021-11-04 15:00,5.46,6.72,9.92,7.68,29.02,,33.33,,6.58,6.81,7.68,7.05,,,2021-11-04 15:00,6.31,9.38,12.02,8,36.69,,37.36,,8.14,7.71,8,8.09
2021-11-04 16:00,5.92,6.21,7.39,8.92,23.76,,18.8,,14.06,11.98,8.92,8,,,2021-11-04 16:00,6.97,7.34,9.05,9.3,30.18,,19.87,,16.42,13.78,9.3,9.14
2021-11-04 17:00,5.89,6.83,9.03,13.95,41.83,,11.96,,7.29,13.02,13.95,19.43,,,2021-11-04 17:00,6.79,8.3,10.92,14.56,54.32,,12.72,,8.75,14.66,14.56,21.21
2021-11-04 18:00,7.66,11.4,18.2,9.31,36.98,27.96,16,,12.56,19.41,9.31,18.13,,,2021-11-04 18:00,8.96,14.76,24.64,9.78,48.24,39.16,17.33,,14.51,22.04,9.78,20.7
2021-11-04 19:00,11.87,29.68,47.76,13.13,59.76,49.18,24.75,,10.13,11.98,13.13,22.21,,,2021-11-04 19:00,13.77,37.83,32.51,13.7,74.85,79.34,26.57,,11.94,13.52,13.7,26.27
